Prices,calories,protein,carbs,fat,nutrition_score
529.66,576,31,54,37,35.8
529.66,534,25,67,37,26.4
90.0,635,30,50,38,32.0
90.0,483,29,54,39,29.8
100.0,473,28,56,33,34.2
125.0,607,27,46,33,30.200000000000003
110.0,686,23,42,21,33.4
115.0,693,30,64,27,45.8
125.0,709,20,75,31,24.0
110.0,486,15,48,36,3.6000000000000014
55.0,482,28,55,37,30.0
55.0,606,23,57,35,22.4
230.0,502,18,44,15,29.8
300.0,664,21,34,14,34.8
340.0,468,25,51,17,43.2
240.0,551,16,49,12,29.8
280.0,616,16,62,23,21.4
529.66,403,16,66,15,30.200000000000003
220.0,485,25,69,23,40.8
260.0,618,26,35,11,48.0
370.0,443,26,44,24,36.8
310.0,647,21,61,11,43.2
310.0,516,18,51,11,35.2
305.0,592,18,62,21,27.4
210.0,559,15,58,11,30.6
230.0,618,17,53,11,33.6
350.0,619,18,60,15,33.0
410.0,391,22,34,21,29.8
250.0,404,16,56,23,20.200000000000003
245.0,408,20,61,11,41.2
260.0,393,24,37,16,39.4
250.0,442,17,54,20,24.8
529.66,508,26,68,10,55.6
529.66,494,27,32,23,37.4
220.0,402,23,59,18,39.8
350.0,396,27,33,13,47.6
350.0,678,18,67,14,35.4
240.0,598,26,51,16,46.2
210.0,568,19,65,23,28.0
260.0,444,29,57,11,58.4
365.0,408,27,36,23,38.2
350.0,372,26,62,20,44.4
230.0,454,22,40,17,35.0
230.0,553,27,60,17,49.0
529.66,387,25,40,14,44.0
265.0,535,15,47,23,16.4
280.0,661,24,58,15,44.6
529.66,686,16,30,13,25.0
260.0,597,29,47,16,51.4
425.0,689,28,66,24,45.2
330.0,455,25,49,15,44.8
529.66,395,15,38,14,23.6
529.66,664,23,39,18,35.8
529.66,431,28,52,21,45.4
529.66,514,20,62,10,42.4
529.66,670,20,68,19,34.6
115.0,517,16,30,17,21.0
105.0,516,16,65,14,31.0
105.0,432,25,47,10,49.4
105.0,635,22,36,14,37.2
105.0,630,29,64,20,50.8
125.0,471,26,30,19,39.0
125.0,433,21,48,23,28.6
125.0,396,18,64,23,25.8
125.0,507,16,56,22,21.200000000000003
260.0,355,17,64,11,35.8
270.0,421,23,32,10,42.4
240.0,658,29,37,22,43.4
230.0,507,17,59,13,32.8
230.0,470,20,68,10,43.6
230.0,650,28,57,16,51.4
230.0,522,27,43,20,42.6
230.0,534,25,57,15,46.4
230.0,361,25,43,18,40.6
175.0,562,19,69,17,34.8
175.0,497,18,39,17,26.8
280.0,517,20,51,21,29.200000000000003
310.0,550,25,37,18,39.4
310.0,471,23,60,23,35.0
310.0,580,20,39,11,36.8
310.0,676,15,51,15,25.200000000000003
220.0,431,25,47,19,40.4
305.0,441,20,36,22,25.2
305.0,387,20,36,18,29.2
305.0,368,23,53,12,44.6
400.0,411,21,69,14,41.8
350.0,599,16,52,18,24.4
350.0,614,20,61,10,42.2
350.0,623,16,68,15,30.6
350.0,600,17,31,15,25.2
350.0,501,24,65,16,45.0
350.0,421,18,46,15,30.200000000000003
350.0,619,26,35,10,49.0
350.0,453,24,36,24,31.2
350.0,652,23,42,15,39.4
350.0,486,29,56,22,47.2
350.0,655,25,69,17,46.8
350.0,677,26,54,10,52.8
425.0,366,25,60,12,50.0
350.0,577,18,67,11,38.4
350.0,464,17,66,11,36.2
350.0,661,25,42,21,37.4
350.0,462,27,46,24,39.2
350.0,353,16,63,21,23.6
350.0,649,22,69,24,33.8
425.0,583,19,50,18,30.0
245.0,654,16,37,12,27.4
265.0,627,20,60,12,40.0
265.0,536,18,47,18,27.4
275.0,444,22,64,10,46.8
265.0,353,29,44,15,51.8
255.0,528,17,45,17,26.0
250.0,530,16,63,24,20.6
250.0,427,28,54,18,48.8
250.0,527,22,59,13,42.8
240.0,422,17,32,21,19.4
240.0,694,25,62,15,47.4
250.0,534,16,61,19,25.200000000000003
240.0,698,25,62,20,42.4
240.0,648,22,33,11,39.6
240.0,552,17,30,20,20.0
240.0,482,18,46,19,26.200000000000003
240.0,668,26,50,11,51.0
250.0,682,21,55,19,34.0
250.0,396,18,57,22,25.4
340.0,666,21,40,16,34.0
330.0,464,27,60,14,52.0
340.0,644,18,58,11,36.6
330.0,605,19,67,20,31.4
330.0,471,26,48,17,44.6
330.0,514,26,65,16,49.0
340.0,356,20,38,15,32.6
330.0,563,26,44,18,42.8
330.0,492,16,59,10,33.8
330.0,390,29,45,19,48.0
330.0,520,15,52,24,16.4
330.0,377,27,57,13,52.4
330.0,533,18,66,10,39.2
320.0,552,19,38,10,35.6
320.0,475,25,60,23,39.0
340.0,435,15,56,19,22.200000000000003
350.0,420,24,59,23,36.8
350.0,498,27,47,22,41.4
340.0,459,15,32,12,24.4
340.0,512,29,51,23,45.2
340.0,445,25,41,19,39.2
350.0,605,19,61,19,31.200000000000003
340.0,462,16,60,22,22.0
350.0,580,21,31,23,25.2
340.0,537,23,58,23,34.6
340.0,600,28,60,11,57.0
340.0,486,26,69,17,48.8
350.0,682,27,53,24,40.6
350.0,456,26,67,23,42.4
350.0,525,28,67,24,45.4
350.0,416,25,67,14,49.4
350.0,575,28,31,23,39.2
350.0,364,25,60,14,48.0
275.0,386,25,30,15,41.0
529.66,498,23,58,19,38.6
365.0,546,20,38,21,26.6
260.0,505,28,60,24,44.0
320.0,595,24,64,20,40.8
320.0,459,28,30,10,52.0
320.0,537,26,37,23,36.4
320.0,406,19,56,17,32.2
350.0,445,25,55,10,51.0
350.0,626,17,36,11,30.2
350.0,558,17,47,16,27.4
350.0,450,21,69,11,44.8
105.0,379,22,33,17,33.6
105.0,457,21,69,17,38.8
70.0,435,15,48,17,22.6
70.0,616,29,35,10,55.0
55.0,694,21,32,21,27.4
55.0,675,26,56,19,44.2
55.0,476,17,62,11,35.4
55.0,458,23,47,11,44.4
55.0,393,25,48,22,37.6
55.0,597,15,43,13,25.6
55.0,675,20,49,19,30.8
250.0,594,28,56,11,56.2
260.0,619,15,36,15,22.2
385.0,452,26,66,20,45.2
400.0,653,22,33,13,37.6
280.0,425,23,33,21,31.6
230.0,461,28,52,13,53.4
300.0,374,15,61,23,19.200000000000003
340.0,524,17,36,14,27.2
370.0,565,28,55,20,47.0
350.0,359,23,55,16,41.0
350.0,445,20,60,19,33.0
250.0,660,27,59,23,42.8
185.0,430,15,68,16,27.6
210.0,549,24,68,14,47.6
230.0,365,20,67,23,30.4
230.0,533,18,65,16,33.0
230.0,391,27,34,12,48.8
230.0,468,22,35,19,32.0
410.0,607,28,59,24,43.8
450.0,551,23,60,21,37.0
425.0,387,28,58,14,53.6
529.66,626,25,61,14,48.2
529.66,609,17,55,15,30.0
529.66,609,15,65,11,32.0
529.66,372,18,39,21,22.8
529.66,463,19,41,14,32.2
425.0,697,25,68,19,44.6
230.0,424,19,43,11,35.6
230.0,684,20,66,17,36.2
529.66,467,27,51,21,43.2
310.0,518,18,31,13,29.2
310.0,409,21,42,21,29.4
300.0,370,24,30,10,44.0
320.0,598,29,58,13,56.6
300.0,486,22,30,24,26.0
180.0,358,26,37,16,43.4
180.0,550,27,40,10,52.0
180.0,555,29,43,10,56.6
150.0,611,21,45,16,35.0
260.0,479,20,62,17,35.4
260.0,374,15,38,16,21.6
260.0,659,27,63,13,53.6
260.0,438,21,38,11,38.6
240.0,530,16,46,19,22.200000000000003
240.0,574,19,40,18,28.0
240.0,423,22,63,21,35.6
320.0,677,21,45,17,34.0
260.0,540,28,66,16,53.2
320.0,694,22,50,21,33.0
260.0,588,16,42,10,30.4
250.0,461,20,54,21,29.8
260.0,360,29,36,11,54.2
240.0,554,29,57,12,57.4
260.0,430,28,35,19,44.0
250.0,685,19,59,21,28.8
200.0,368,27,54,10,54.8
200.0,448,19,53,24,24.6
220.0,689,15,40,10,28.0
210.0,465,16,58,10,33.6
210.0,607,21,67,14,41.4
220.0,544,28,62,13,55.4
160.0,603,15,33,21,15.6
432.0,586,24,56,19,40.2
408.0,525,16,31,20,18.2
168.0,442,18,65,17,32.0
396.0,365,23,30,12,40.0
240.0,640,17,44,13,29.8
240.0,616,29,31,15,49.2
228.0,646,25,69,16,47.8
108.0,638,23,58,14,43.6
216.0,479,16,51,18,24.200000000000003
168.0,549,22,36,15,36.2
324.0,657,18,50,21,25.0
108.0,482,25,52,13,47.4
264.0,531,27,52,11,53.4
324.0,452,17,61,20,26.200000000000003
108.0,688,17,68,21,26.6
288.0,669,28,31,10,52.2
228.0,556,16,65,23,22.0
216.0,611,20,67,17,36.4
264.0,516,20,37,14,33.4
324.0,558,28,47,19,46.4
324.0,486,22,64,16,40.8
324.0,600,27,56,13,52.2
396.0,692,21,49,23,28.8
408.0,439,21,42,22,28.4
432.0,583,23,35,20,33.0
288.0,363,23,56,22,35.2
240.0,451,19,48,23,24.6
240.0,540,28,38,15,48.6
108.0,453,29,62,22,48.4
108.0,635,16,31,24,14.2
240.0,680,27,68,17,50.6
240.0,470,24,38,24,31.6
228.0,407,21,42,23,27.4
168.0,662,28,65,24,45.0
168.0,407,28,32,14,48.4
168.0,589,24,48,11,46.6
168.0,499,20,58,14,37.6
96.0,535,17,49,21,22.8
108.0,654,21,68,18,37.6
55.0,577,29,32,16,48.4
108.0,472,15,36,11,26.2
168.0,499,29,51,11,57.2
168.0,371,18,39,13,30.8
168.0,516,24,44,19,37.8
168.0,563,23,52,17,39.4
108.0,667,21,61,20,34.2
108.0,638,20,46,13,36.2
199.0,182,0,26,4,1.2000000000000002
145.0,165,0,11,4,-1.7999999999999998
199.0,137,2,28,1,8.600000000000001
135.0,62,3,20,4,6.0
165.0,174,2,19,3,4.800000000000001
135.0,67,3,26,1,10.2
200.0,125,1,29,4,3.8000000000000007
155.0,144,0,26,1,4.2
75.0,112,3,26,1,10.2
199.0,85,0,21,3,1.2000000000000002
199.0,126,1,15,1,4.0
155.0,64,2,15,0,7.0
75.0,66,3,21,3,7.2
95.0,60,4,29,3,10.8
140.0,165,2,8,3,2.6
120.0,51,4,21,2,10.2
110.0,194,2,16,4,3.2
310.0,53,0,22,2,2.4000000000000004
150.0,144,0,6,2,-0.7999999999999998
300.0,91,4,9,0,9.8
140.0,106,1,21,0,6.2
140.0,90,3,25,0,11.0
90.0,185,3,15,0,9.0
90.0,51,4,12,1,9.4
80.0,57,4,5,0,9.0
190.0,102,2,6,4,1.2000000000000002
90.0,115,3,11,2,6.2
170.0,142,0,13,4,-1.4
150.0,51,2,12,3,3.4000000000000004
140.0,56,2,14,2,4.800000000000001
130.0,75,4,7,3,6.4
130.0,174,0,17,0,3.4000000000000004
120.0,158,3,10,2,6.0
120.0,167,4,23,4,8.600000000000001
285.0,79,3,12,3,5.4
310.0,146,2,11,4,2.2
300.0,105,4,26,3,10.2
250.0,118,0,15,1,2.0
250.0,52,2,14,1,5.800000000000001
285.0,60,3,9,1,6.8
135.0,129,4,5,3,6.0
135.0,92,4,10,4,6.0
145.0,72,2,13,1,5.6
155.0,97,4,28,3,10.6
155.0,173,1,5,4,-1.0
165.0,178,4,29,0,13.8
199.0,140,2,11,1,5.2
199.0,91,3,12,4,4.4
199.0,124,2,16,0,7.2
199.0,61,1,9,1,2.8
200.0,121,1,19,4,1.8000000000000005
200.0,164,0,9,1,0.8
200.0,54,3,27,3,8.4
220.0,89,1,22,1,5.4
220.0,144,3,14,4,4.800000000000001
220.0,139,2,11,4,2.2
220.0,119,1,18,0,5.6
130.0,161,3,6,0,7.2
130.0,187,4,10,4,6.0
130.0,141,1,18,2,3.6
130.0,82,2,21,1,7.2
130.0,173,0,11,1,1.2000000000000002
130.0,61,4,24,1,11.8
130.0,186,4,18,0,11.6
130.0,119,1,9,3,0.8
130.0,65,4,29,4,9.8
140.0,191,4,26,0,13.2
140.0,104,1,29,1,6.800000000000001
140.0,94,2,16,3,4.2
140.0,171,4,28,0,13.6
140.0,111,1,9,0,3.8
130.0,78,2,8,2,3.6
130.0,81,2,7,1,4.4
130.0,96,1,6,2,1.2000000000000002
160.0,183,1,17,4,1.4000000000000004
160.0,68,3,10,4,4.0
160.0,118,1,29,0,7.800000000000001
160.0,99,1,23,0,6.6000000000000005
75.0,182,4,8,4,5.6
75.0,70,4,26,1,12.2
75.0,122,4,11,4,6.2
95.0,158,3,28,0,11.6
115.0,70,4,28,3,10.6
140.0,175,0,22,3,1.4000000000000004
140.0,118,3,26,4,7.2
120.0,61,0,11,0,2.2
130.0,93,1,25,1,6.0
130.0,76,1,5,2,1.0
140.0,165,2,25,1,8.0
140.0,63,3,8,2,5.6
140.0,107,0,11,3,-0.7999999999999998
140.0,91,2,15,1,6.0
160.0,67,0,24,2,2.8000000000000007
160.0,182,3,9,2,5.8
170.0,150,3,6,0,7.2
170.0,118,0,18,2,1.6
100.0,113,1,29,4,3.8000000000000007
110.0,160,2,24,0,8.8
110.0,65,3,10,3,5.0
110.0,66,3,24,0,10.8
110.0,129,0,25,4,1.0
110.0,101,2,16,4,3.2
120.0,183,2,8,1,4.6
120.0,169,1,15,2,3.0
120.0,68,0,6,3,-1.7999999999999998
130.0,123,3,8,2,5.6
130.0,166,4,26,2,11.2
140.0,150,1,20,0,6.0
140.0,160,1,12,2,2.4000000000000004
140.0,75,3,18,2,7.6
140.0,164,4,11,3,7.2
140.0,198,1,27,1,6.4
140.0,160,1,25,0,7.0
140.0,195,4,9,4,5.8
140.0,81,1,28,2,5.6000000000000005
120.0,105,1,20,0,6.0
120.0,121,0,20,2,2.0
150.0,119,1,9,3,0.8
150.0,58,3,21,2,8.2
150.0,170,1,22,4,2.4000000000000004
150.0,98,1,9,2,1.8
150.0,77,2,21,1,7.2
150.0,112,3,20,3,7.0
150.0,96,4,14,2,8.8
150.0,182,0,16,1,2.2
150.0,185,0,26,1,4.2
150.0,176,3,7,3,4.4
150.0,98,3,21,3,7.2
160.0,197,3,21,4,6.2
160.0,147,0,5,1,0.0
160.0,177,3,9,0,7.8
160.0,68,2,24,1,7.800000000000001
160.0,127,2,19,3,4.800000000000001
160.0,103,0,12,2,0.4000000000000003
160.0,99,2,26,4,5.2
160.0,197,1,24,0,6.800000000000001
170.0,112,3,9,4,3.8
170.0,152,1,9,3,0.8
170.0,104,2,17,3,4.4
170.0,135,1,8,3,0.6000000000000001
170.0,129,3,11,4,4.2
180.0,94,4,18,0,11.6
180.0,147,4,26,0,13.2
180.0,195,2,26,1,8.2
200.0,177,4,23,3,9.6
190.0,171,0,8,0,1.6
190.0,190,4,21,3,9.2
200.0,163,4,16,2,9.2
200.0,180,4,27,4,9.4
200.0,122,1,18,0,5.6
200.0,78,2,17,2,5.4
200.0,173,0,22,3,1.4000000000000004
200.0,162,4,15,4,7.0
200.0,86,2,23,3,5.6000000000000005
100.0,191,1,21,1,5.2
90.0,129,4,25,0,13.0
90.0,163,2,11,0,6.2
90.0,134,3,14,2,6.800000000000001
90.0,119,3,11,1,7.2
90.0,86,4,28,3,10.6
90.0,52,1,8,4,-0.3999999999999999
90.0,78,1,29,0,7.800000000000001
90.0,113,4,21,3,9.2
90.0,50,3,25,3,8.0
100.0,121,2,10,3,3.0
110.0,190,0,7,4,-2.5999999999999996
120.0,90,2,19,3,4.800000000000001
150.0,161,0,22,0,4.4
150.0,70,4,9,4,5.8
140.0,59,3,18,1,8.6
140.0,134,1,21,3,3.2
140.0,154,0,18,4,-0.3999999999999999
140.0,195,2,7,3,2.4000000000000004
140.0,97,4,20,0,12.0
110.0,187,3,11,0,8.2
110.0,118,0,8,0,1.6
110.0,153,1,10,2,2.0
110.0,71,0,17,1,2.4000000000000004
110.0,50,2,22,2,6.4
110.0,186,1,19,4,1.8000000000000005
110.0,83,4,14,4,6.800000000000001
110.0,103,0,12,2,0.4000000000000003
110.0,179,1,24,0,6.800000000000001
110.0,184,2,10,0,6.0
110.0,107,2,25,2,7.0
110.0,72,4,23,1,11.6
120.0,174,1,14,3,1.8000000000000005
120.0,137,2,12,0,6.4
120.0,190,4,8,0,9.6
130.0,104,3,23,1,9.6
130.0,142,1,23,4,2.6000000000000005
130.0,161,1,15,1,4.0
140.0,53,2,26,3,6.2
140.0,110,4,24,1,11.8
150.0,139,1,17,2,3.4000000000000004
160.0,110,2,5,2,3.0
160.0,190,2,5,4,1.0
150.0,171,3,27,4,7.4
150.0,103,1,18,2,3.6
150.0,93,2,17,4,3.4000000000000004
150.0,106,4,21,2,10.2
150.0,158,2,17,3,4.4
150.0,158,4,7,4,5.4
150.0,156,2,23,3,5.6000000000000005
150.0,197,4,23,2,10.6
150.0,134,2,24,1,7.800000000000001
160.0,71,2,29,4,5.800000000000001
150.0,180,1,15,4,1.0
150.0,170,4,28,1,12.6
70.0,85,0,7,2,-0.5999999999999999
80.0,165,4,13,4,6.6
80.0,60,3,27,2,9.4
70.0,151,0,27,0,5.4
80.0,74,0,9,2,-0.1999999999999999
80.0,68,0,23,2,2.6000000000000005
70.0,70,3,25,0,11.0
70.0,157,4,18,4,7.6
80.0,116,0,7,2,-0.5999999999999999
100.0,51,4,18,3,8.6
80.0,53,3,8,0,7.6
90.0,162,4,6,1,8.2
70.0,126,2,7,4,1.4
70.0,139,0,22,0,4.4
110.0,143,0,9,2,-0.1999999999999999
110.0,194,2,8,2,3.6
110.0,195,1,29,1,6.800000000000001
120.0,111,4,5,4,5.0
140.0,195,3,16,3,6.2
140.0,126,2,14,2,4.800000000000001
140.0,121,0,16,2,1.2000000000000002
90.0,107,4,5,1,8.0
90.0,198,2,11,0,6.2
90.0,82,1,5,0,3.0
90.0,181,0,28,0,5.6000000000000005
90.0,179,0,17,0,3.4000000000000004
90.0,174,1,5,3,0.0
90.0,182,1,20,0,6.0
90.0,147,0,15,3,0.0
90.0,50,1,12,1,3.4000000000000004
90.0,122,3,18,2,7.6
90.0,64,2,22,1,7.4
90.0,86,1,26,4,3.2
90.0,136,4,23,1,11.6
90.0,103,1,18,3,2.6
120.0,80,0,22,1,3.4000000000000004
120.0,123,1,6,3,0.2000000000000001
130.0,180,2,24,0,8.8
130.0,105,2,19,0,7.800000000000001
130.0,190,3,7,0,7.4
130.0,88,4,25,0,13.0
130.0,102,3,8,3,4.6
130.0,198,2,19,2,5.800000000000001
130.0,147,1,15,1,4.0
130.0,164,1,9,2,1.8
130.0,81,2,22,3,5.4
130.0,136,2,16,1,6.2
130.0,109,0,11,1,1.2000000000000002
130.0,83,3,14,0,8.8
130.0,167,2,15,1,6.0
130.0,127,3,20,3,7.0
130.0,56,3,20,1,9.0
130.0,82,4,23,2,10.6
130.0,136,4,13,1,9.6
130.0,125,1,8,0,3.6
130.0,71,4,17,1,10.4
160.0,90,3,24,4,6.800000000000001
190.0,199,1,8,3,0.6000000000000001
125.0,66,2,14,1,5.800000000000001
85.0,170,0,25,2,3.0
105.0,74,4,13,2,8.6
130.0,178,2,10,3,3.0
135.0,157,3,25,1,10.0
185.0,147,4,23,3,9.6
175.0,152,2,25,3,6.0
105.0,86,2,17,2,5.4
130.0,173,2,28,0,9.6
145.0,88,4,11,1,9.2
105.0,176,4,19,0,11.8
130.0,138,4,18,2,9.6
120.0,158,1,23,4,2.6000000000000005
165.0,118,2,29,0,9.8
150.0,133,0,16,2,1.2000000000000002
145.0,67,1,13,3,1.6
135.0,95,1,25,3,4.0
135.0,165,0,15,3,0.0
130.0,149,1,18,3,2.6
125.0,58,4,16,4,7.2
165.0,87,4,17,1,10.4
165.0,154,4,23,4,8.600000000000001
75.0,66,0,9,4,-2.2
150.0,113,4,24,2,10.8
145.0,139,1,14,4,0.8000000000000003
140.0,143,3,14,3,5.800000000000001
135.0,121,2,17,2,5.4
130.0,86,0,9,1,0.8
125.0,69,3,11,1,7.2
125.0,116,2,12,2,4.4
185.0,54,2,5,3,2.0
99.0,124,2,20,3,5.0
125.0,174,1,11,1,3.2
135.0,111,0,18,0,3.6
135.0,59,0,29,2,3.8000000000000007
165.0,53,2,19,0,7.800000000000001
135.0,75,2,8,1,4.6
120.0,66,1,16,2,3.2
85.0,74,0,18,4,-0.3999999999999999
105.0,62,4,22,4,8.4
105.0,196,0,6,0,1.2000000000000002
130.0,56,1,29,4,3.8000000000000007
110.0,60,4,28,1,12.6
105.0,172,4,17,0,11.4
105.0,175,0,11,4,-1.7999999999999998
105.0,54,0,16,3,0.2000000000000001
95.0,101,3,23,1,9.6
95.0,94,3,23,3,7.6
95.0,179,0,17,2,1.4000000000000004
150.0,173,2,19,4,3.8
100.0,193,0,5,2,-1.0
130.0,97,1,25,0,7.0
130.0,142,1,6,4,-0.7999999999999998
175.0,125,4,10,3,7.0
130.0,75,2,15,1,6.0
145.0,51,4,25,0,13.0
130.0,156,1,16,0,5.2
75.0,175,0,5,0,1.0
130.0,133,4,15,2,9.0
155.0,143,4,6,4,5.2
115.0,131,3,8,3,4.6
75.0,168,4,21,4,8.2
125.0,171,2,9,0,5.8
115.0,192,0,22,4,0.4000000000000003
205.0,168,3,19,2,7.800000000000001
135.0,134,2,17,3,4.4
80.0,63,2,19,0,7.800000000000001
105.0,176,0,15,0,3.0
130.0,124,1,23,2,4.6000000000000005
150.0,144,4,21,2,10.2
145.0,94,4,9,3,6.8
125.0,77,4,18,4,7.6
145.0,131,1,27,2,5.4
175.0,154,3,26,4,7.2
165.0,72,0,24,0,4.800000000000001
165.0,136,2,29,2,7.800000000000001
150.0,100,4,24,4,8.8
170.0,145,3,11,4,4.2
125.0,101,4,10,0,10.0
140.0,183,3,23,3,7.6
145.0,96,3,21,4,6.2
145.0,85,4,25,3,10.0
105.0,195,1,11,0,4.2
145.0,187,3,12,4,4.4
135.0,124,1,13,4,0.6000000000000001
130.0,183,0,26,2,3.2
170.0,150,0,16,0,3.2
125.0,157,2,9,1,4.8
150.0,107,0,25,1,4.0
150.0,119,2,9,0,5.8
140.0,134,0,27,4,1.4000000000000004
150.0,77,0,10,0,2.0
115.0,150,4,19,2,9.8
115.0,118,4,23,3,9.6
110.0,161,4,22,1,11.4
115.0,86,2,19,3,4.800000000000001
110.0,198,4,14,0,10.8
110.0,181,0,6,4,-2.8
105.0,70,2,22,2,6.4
105.0,57,3,11,2,6.2
105.0,129,1,18,0,5.6
145.0,114,0,17,4,-0.5999999999999996
125.0,161,2,9,3,2.8
105.0,157,0,19,4,-0.1999999999999997
55.0,73,3,21,2,8.2
55.0,168,4,9,0,9.8
55.0,156,2,14,2,4.800000000000001
55.0,76,2,16,0,7.2
55.0,131,4,17,1,10.4
90.0,796,26,82,33,35.400000000000006
