course,name,Prices,calories,protein,carbs,fat,nutrition_score,meal_category
Fast Food,Cheese Veg Sandwich,105.0,709,31,59,30,43.8,Affordable_Nutritious
Fast Food,Grilled Veg Sandwich,105.0,573,31,85,24,55.0,Affordable_Nutritious
Fast Food,Chicken Barbeque Sandwich,115.0,674,24,60,33,27.0,Affordable_Nutritious
Fast Food,Chicken Tandoori Sandwich,115.0,640,34,40,23,53.0,Affordable_Nutritious
Fast Food,Double Decker Sandwich,145.0,453,32,61,25,51.2,Affordable_Nutritious
Fast Food,Special Zinger Tortilla Wrap,165.0,687,26,47,22,39.4,Expensive_Nutritious
Fast Food,Special Fish Tortilla Wrap,165.0,588,32,85,25,56.0,Expensive_Nutritious
Fast Food,Kebab Wrap,159.0,528,21,43,39,11.6,Low_Nutrition
Fast Food,Chicken Rumali Shawarma,129.0,523,29,69,27,44.8,Affordable_Nutritious
Fast Food,Chicken Bread Samoli Shawarma,129.0,526,21,43,34,16.6,Basic_Meal
Fast Food,Chicken Shawarma,129.0,646,17,79,34,15.8,Basic_Meal
Fast Food,Chicken Nuggets [6 Pieces],115.0,681,24,56,31,28.200000000000003,Affordable_Nutritious
Fast Food,Chicken Popcorn [20 Pieces],165.0,537,28,62,20,48.4,Expensive_Nutritious
Fast Food,Veg Bread Samoli,105.0,769,33,82,39,43.400000000000006,Affordable_Nutritious
Fast Food,French Fries,175.0,486,31,72,22,54.4,Expensive_Nutritious
Wraps,Naked Chicken Taco,249.0,445,18,43,19,25.6,Expensive_Nutritious
Wraps,Big Bell Box - Veg,299.0,583,25,66,23,40.2,Expensive_Nutritious
Wraps,Big Bell Box - Non Veg,349.0,413,27,35,18,43.0,Expensive_Nutritious
Wraps,7 Layer Burrito - Non veg,279.0,512,23,64,18,40.8,Expensive_Nutritious
Wraps,Soft Taco Mexican Paneer,119.0,534,27,59,12,53.8,Affordable_Nutritious
Wraps,Churro Bombs,109.0,665,24,38,11,44.6,Affordable_Nutritious
Wraps,Crunchy Taco Pinto Bean,109.0,601,19,65,11,40.0,Affordable_Nutritious
Wraps,Cheesy Fries,129.0,566,21,47,18,33.4,Affordable_Nutritious
Wraps,7 Layer Burrito - Veg,259.0,495,18,35,10,33.0,Expensive_Nutritious
Wraps,Ultimate Rice Bowl - Non Veg,209.0,601,15,36,11,26.2,Expensive_Nutritious
Wraps,Naked Chicken Nachos,189.0,396,29,57,17,52.4,Expensive_Nutritious
Wraps,Crunchy Taco Mexican Chicken,119.0,685,26,52,10,52.4,Affordable_Nutritious
Wraps,Naked Chicken Taco Meal,378.0,553,19,62,20,30.4,Expensive_Nutritious
Wraps,Ultimate Rice Bowl - Veg,189.0,654,23,38,17,36.6,Expensive_Nutritious
Wraps,Churros & Chocolate Regular,109.0,362,20,33,10,36.6,Affordable_Nutritious
Wraps,Naked Veggie Taco,249.0,407,17,41,11,31.200000000000003,Expensive_Nutritious
Wraps,Nachos Cheese dip,40.0,574,15,63,22,20.6,Affordable_Nutritious
Wraps,Cheesy Seasoned Nachos,139.0,642,29,36,16,49.2,Affordable_Nutritious
Wraps,Sriracha Burrito - Veg,115.0,522,23,52,24,32.4,Affordable_Nutritious
Wraps,Cheesy Chicken Quesadilla,109.0,374,26,43,19,41.6,Affordable_Nutritious
Wraps,Guacamole,70.0,435,19,41,11,35.2,Affordable_Nutritious
Wraps,Cinnamon Twist,59.0,667,27,58,21,44.6,Affordable_Nutritious
Wraps,Spicy salsa dip,40.0,421,18,46,15,30.200000000000003,Affordable_Nutritious
Wraps,Chocolate Sauce,40.0,581,22,69,21,36.8,Affordable_Nutritious
Wraps,Taco Tuesday Non-Veg,129.0,382,16,63,17,27.6,Affordable_Nutritious
Wraps,Taco Tuesday Veg,129.0,624,21,56,22,31.200000000000003,Affordable_Nutritious
Wraps,Big Bell Box - Veg,299.0,545,18,54,10,36.8,Expensive_Nutritious
Wraps,Cheese Max Box Veg,399.0,354,29,60,12,58.0,Expensive_Nutritious
Wraps,Naked Veggie Taco Meal,378.0,417,20,52,10,40.4,Expensive_Nutritious
Wraps,Hot & Cheesy Crunchwrap Meal - Veg,344.0,416,16,54,22,20.8,Expensive_Nutritious
Wraps,7 Layer Burrito Meal-Veg,388.0,537,28,52,12,54.4,Expensive_Nutritious
Wraps,Crispy Chalupa Taco Veg Meal,314.0,532,29,44,10,56.8,Expensive_Nutritious
Wraps,Melted Cheese Quesadilla - Veg,334.0,390,25,33,11,45.6,Expensive_Nutritious
Wraps,Ultimate Rice Bowl Meal Veg,318.0,550,17,52,16,28.4,Expensive_Nutritious
Wraps,Burrito Supreme Meal - Veg,308.0,551,25,69,13,50.8,Expensive_Nutritious
Wraps,Cheese Stuft Taco Meal - Veg,388.0,391,19,34,20,24.8,Expensive_Nutritious
Wraps,Sriracha Burrito Meal - Veg,244.0,651,26,46,21,40.2,Expensive_Nutritious
Wraps,Big Bell Box - Non Veg,349.0,511,25,44,15,43.8,Expensive_Nutritious
Wraps,Cheese Max Box Non-Veg,449.0,694,21,52,19,33.4,Expensive_Nutritious
Wraps,Naked Chicken Taco Meal,378.0,455,23,47,18,37.4,Expensive_Nutritious
Wraps,7 Layer Burrito Meal - Non Veg,408.0,621,28,64,11,57.8,Expensive_Nutritious
Wraps,Hot & Cheesy Crunchwrap Meal - Non Veg,364.0,521,16,30,14,24.0,Expensive_Nutritious
Wraps,Crispy Chalupa Taco Meal - Non Veg,324.0,389,27,43,17,45.6,Expensive_Nutritious
Wraps,Ultimate Rice Bowl Meal Non-Veg,338.0,699,21,34,10,38.8,Expensive_Nutritious
Wraps,Burrito Supreme Meal - Non-Veg,328.0,567,26,66,11,54.2,Expensive_Nutritious
Wraps,Melted Cheese Quesadilla Meal - Non Veg,354.0,371,17,50,14,30.0,Expensive_Nutritious
Wraps,Cheese Stuft Taco Meal - Non Veg,378.0,364,22,46,17,36.2,Expensive_Nutritious
Wraps,Sriracha Burrito Meal - Non Veg,264.0,476,26,45,23,38.0,Expensive_Nutritious
Wraps,Naked Veggie Taco,249.0,369,27,41,18,44.2,Expensive_Nutritious
Wraps,Naked Chicken Taco,249.0,502,22,37,16,35.4,Expensive_Nutritious
Wraps,Crunchy Taco Mexican Chicken,119.0,419,20,30,10,36.0,Affordable_Nutritious
Wraps,Crunchy Taco Pinto Bean,109.0,454,19,37,17,28.4,Affordable_Nutritious
Wraps,Crunchy Taco Mexican Paneer,119.0,458,16,31,21,17.2,Basic_Meal
Wraps,Soft Taco Mexican Paneer,119.0,586,15,36,19,18.2,Basic_Meal
Wraps,Soft Crispy Chicken Taco,119.0,480,16,33,23,15.600000000000001,Basic_Meal
Wraps,Soft Taco Mexican Chicken,119.0,425,29,47,15,52.4,Affordable_Nutritious
Wraps,7 Layer Burrito - Veg,259.0,443,26,66,16,49.2,Expensive_Nutritious
Wraps,Burrito Supreme Veg,179.0,471,20,53,13,37.6,Expensive_Nutritious
Wraps,Sriracha Burrito - Veg,115.0,446,17,66,16,31.200000000000003,Affordable_Nutritious
Wraps,7 Layer Burrito - Non veg,279.0,665,21,58,16,37.6,Expensive_Nutritious
Wraps,Burrito Supreme Non Veg,199.0,617,16,48,21,20.6,Expensive_Nutritious
Wraps,Sriracha Burrito Non Veg,135.0,569,24,40,13,43.0,Affordable_Nutritious
Wraps,Cheese Stuft Taco - Veg,219.0,406,28,45,24,41.0,Expensive_Nutritious
Wraps,Chalupa - Pinto Bean (Veg),185.0,438,19,69,21,30.8,Expensive_Nutritious
Wraps,Crispy Chalupa Taco (Veg),185.0,524,17,57,14,31.4,Expensive_Nutritious
Wraps,Cheese Stuft Taco - Non Veg,249.0,413,24,66,15,46.2,Expensive_Nutritious
Wraps,Crispy Chalupa Taco (Non Veg),195.0,556,19,47,23,24.4,Expensive_Nutritious
Wraps,Melted Cheese Quesadilla - Veg,205.0,603,15,45,10,29.0,Expensive_Nutritious
Wraps,Melted Cheese Quesadilla- Non Veg,225.0,444,19,38,22,23.6,Expensive_Nutritious
Wraps,Hot and Crispy Crunch Wrap Veg,215.0,499,18,34,10,32.8,Expensive_Nutritious
Wraps,Hot and Crispy Crunch Chicken Wrap,235.0,371,28,63,13,55.6,Expensive_Nutritious
Wraps,Ultimate Rice Bowl - Veg,189.0,699,15,52,20,20.4,Expensive_Nutritious
Wraps,Ultimate Rice Bowl - Non Veg,209.0,439,22,57,24,31.4,Expensive_Nutritious
Wraps,Crispy Potato Taco,79.0,619,26,47,15,46.4,Affordable_Nutritious
Wraps,Crispy Potato Wrap,79.0,629,27,45,12,51.0,Affordable_Nutritious
Wraps,Cheese Quesadilla Veg,69.0,628,21,53,20,32.6,Affordable_Nutritious
Wraps,Crispy Chicken Wrap,99.0,491,24,52,20,38.4,Affordable_Nutritious
Wraps,Cheesy Chicken Quesadilla,109.0,433,20,51,24,26.200000000000003,Affordable_Nutritious
Wraps,Seasoned Fries,109.0,450,25,61,18,44.2,Affordable_Nutritious
Wraps,Seasoned Nachos & Salsa,119.0,646,16,41,22,18.200000000000003,Basic_Meal
Wraps,Cheesy Fries,129.0,674,17,50,15,29.0,Affordable_Nutritious
Wraps,Cheesy Seasoned Nachos,139.0,357,15,63,16,26.6,Affordable_Nutritious
Wraps,Crispy Chicken Strips,249.0,607,23,57,16,41.4,Expensive_Nutritious
Wraps,Naked Chicken Nachos,189.0,685,27,56,14,51.2,Expensive_Nutritious
Wraps,Churro Bombs,109.0,437,16,54,18,24.8,Affordable_Nutritious
Wraps,Cinnamon Twist,59.0,670,23,57,10,47.4,Affordable_Nutritious
Wraps,Churros & Chocolate Regular,109.0,639,16,52,11,31.4,Affordable_Nutritious
Wraps,Pepsi Pet,57.0,454,20,38,12,35.6,Affordable_Nutritious
Wraps,Mirinda Pet,57.0,688,26,59,24,39.8,Affordable_Nutritious
Wraps,Mountain Dew Pet,57.0,652,25,31,20,36.2,Affordable_Nutritious
Wraps,7 Up,57.0,491,23,55,20,37.0,Affordable_Nutritious
Wraps,Aquavess,28.57,414,28,55,12,55.0,Affordable_Nutritious
Wraps,Guacamole,70.0,629,18,36,13,30.2,Affordable_Nutritious
Wraps,Nachos Cheese dip,40.0,679,24,36,13,42.2,Affordable_Nutritious
Wraps,Spicy salsa dip,40.0,648,15,42,22,16.4,Basic_Meal
Wraps,Chocolate Sauce,40.0,672,17,52,10,34.4,Affordable_Nutritious
Wraps,Lava Sauce,40.0,468,22,56,15,40.2,Affordable_Nutritious
Fast Food,Pineapple Cake,500.0,653,15,76,26,19.200000000000003,Low_Nutrition
Fast Food,Black Forest Cake,550.0,472,33,69,25,54.8,Expensive_Nutritious
Fast Food,Red Velvet Cake,700.0,572,29,43,20,46.6,Expensive_Nutritious
Fast Food,Butterscotch Cake,550.0,485,29,45,27,40.0,Expensive_Nutritious
Fast Food,Pineapple Pastry,90.0,526,32,49,23,50.8,Affordable_Nutritious
Fast Food,Choco Chip Pastry,110.0,487,26,55,31,32.0,Affordable_Nutritious
Fast Food,Black Forest Pastry,100.0,662,20,40,27,21.0,Affordable_Nutritious
Fast Food,Butterscotch Pastry,90.0,769,29,71,20,52.2,Affordable_Nutritious
Fast Food,Chocolate Truffle Pastry,125.0,588,26,43,27,33.6,Affordable_Nutritious
Fast Food,Panda Vanilla Pastry,115.0,768,23,54,23,33.8,Affordable_Nutritious
Fast Food,Chocolate Pastry,110.0,564,27,67,22,45.4,Affordable_Nutritious
Fast Food,Paneer Puff,40.0,570,21,62,27,27.4,Affordable_Nutritious
Fast Food,Veg Puff,25.0,742,15,70,37,7.0,Basic_Meal
Fast Food,Pineapple Cake,500.0,687,21,74,39,17.8,Low_Nutrition
Fast Food,Butterscotch Cake,550.0,693,23,60,21,37.0,Expensive_Nutritious
Fast Food,Black Forest Cake,550.0,468,18,47,20,25.4,Expensive_Nutritious
Fast Food,Red Velvet Cake,700.0,499,24,72,31,31.4,Expensive_Nutritious
Fast Food,Chocolate Cake,600.0,713,31,40,29,41.0,Expensive_Nutritious
Fast Food,Choco Chip Cake,600.0,688,24,64,23,37.8,Expensive_Nutritious
Fast Food,Rasmalai Cake,725.0,717,17,55,29,16.0,Low_Nutrition
Fast Food,Blueberry Cake,650.0,763,23,86,35,28.2,Expensive_Nutritious
Fast Food,Pista Cake,675.0,491,23,40,24,30.0,Expensive_Nutritious
Fast Food,Chocolate KitKat Cake,1800.0,546,22,75,30,29.0,Expensive_Nutritious
Fast Food,Rasmalai Tin Cake,800.0,576,31,54,37,35.8,Expensive_Nutritious
Fast Food,Chocolate Tin Cake,800.0,534,25,67,37,26.4,Expensive_Nutritious
Fast Food,Pineapple Pastry,90.0,635,30,50,38,32.0,Affordable_Nutritious
Fast Food,Butterscotch Pastry,90.0,483,29,54,39,29.8,Affordable_Nutritious
Fast Food,Black Forest Pastry,100.0,473,28,56,33,34.2,Affordable_Nutritious
Fast Food,Chocolate Truffle Pastry,125.0,607,27,46,33,30.200000000000003,Affordable_Nutritious
Fast Food,Chocolate Pastry,110.0,686,23,42,21,33.4,Affordable_Nutritious
Fast Food,Panda Vanilla Pastry,115.0,693,30,64,27,45.8,Affordable_Nutritious
Fast Food,Red Velvet Pastry,125.0,709,20,75,31,24.0,Affordable_Nutritious
Fast Food,Choco Chip Pastry,110.0,486,15,48,36,3.6000000000000014,Basic_Meal
Fast Food,Veg Puff,25.0,482,28,55,37,30.0,Affordable_Nutritious
Fast Food,Paneer Puff,40.0,606,23,57,35,22.4,Affordable_Nutritious
Biryani,Chicken Biryani,230.0,502,18,44,15,29.8,Expensive_Nutritious
Biryani,Special Mutton Biryani,300.0,664,21,34,14,34.8,Expensive_Nutritious
Biryani,Kheema Biryani,340.0,468,25,51,17,43.2,Expensive_Nutritious
Biryani,Paneer Butter Masala,240.0,551,16,49,12,29.8,Expensive_Nutritious
Biryani,Special Chicken Biryani,280.0,616,16,62,23,21.4,Expensive_Nutritious
Biryani,Special Chicken Biryani Family Pack,580.0,403,16,66,15,30.200000000000003,Expensive_Nutritious
Biryani,Pepper Chicken,220.0,485,25,69,23,40.8,Expensive_Nutritious
Biryani,Mixed Fried Rice,260.0,618,26,35,11,48.0,Expensive_Nutritious
Biryani,Special Biryani Non-Veg,370.0,443,26,44,24,36.8,Expensive_Nutritious
Biryani,Chicken Drum Stick,310.0,647,21,61,11,43.2,Expensive_Nutritious
Biryani,Murgh Majestic,310.0,516,18,51,11,35.2,Expensive_Nutritious
Biryani,Chicken 65,305.0,592,18,62,21,27.4,Expensive_Nutritious
Biryani,Chicken Rice Bowl,210.0,559,15,58,11,30.6,Expensive_Nutritious
Biryani,Veg Manchurian,230.0,618,17,53,11,33.6,Expensive_Nutritious
Biryani,Prawns Biryani,350.0,619,18,60,15,33.0,Expensive_Nutritious
Biryani,Veg Biryani Family Pack,410.0,391,22,34,21,29.8,Expensive_Nutritious
Biryani,Egg Biryani,250.0,404,16,56,23,20.200000000000003,Expensive_Nutritious
Biryani,Veg Spring Roll,245.0,408,20,61,11,41.2,Expensive_Nutritious
Biryani,Tandoori Chicken,260.0,393,24,37,16,39.4,Expensive_Nutritious
Biryani,Veg Biryani,250.0,442,17,54,20,24.8,Expensive_Nutritious
Biryani,Special Mutton Biryani Family Pack,600.0,508,26,68,10,55.6,Expensive_Nutritious
Biryani,Chicken Biryani Family Pack,550.0,494,27,32,23,37.4,Expensive_Nutritious
Biryani,Egg Fried Rice,220.0,402,23,59,18,39.8,Expensive_Nutritious
Biryani,Loose Prawns,350.0,396,27,33,13,47.6,Expensive_Nutritious
Biryani,Apollo Fish,350.0,678,18,67,14,35.4,Expensive_Nutritious
Biryani,Chicken Fried Rice,240.0,598,26,51,16,46.2,Expensive_Nutritious
Biryani,Veg Fried Rice,210.0,568,19,65,23,28.0,Expensive_Nutritious
Biryani,Mixed Soft Noodles,260.0,444,29,57,11,58.4,Expensive_Nutritious
Biryani,Tandori Chicken,365.0,408,27,36,23,38.2,Expensive_Nutritious
Biryani,Fish Biryani,350.0,372,26,62,20,44.4,Expensive_Nutritious
Biryani,Vegetable Bullet,230.0,454,22,40,17,35.0,Expensive_Nutritious
Biryani,Mutton Rice Bowl,230.0,553,27,60,17,49.0,Expensive_Nutritious
Biryani,Prawns Biryani Family Pack,580.0,387,25,40,14,44.0,Expensive_Nutritious
Biryani,Chicken Spring roll,265.0,535,15,47,23,16.4,Low_Nutrition
Biryani,Crystal Special Chicken,280.0,661,24,58,15,44.6,Expensive_Nutritious
Biryani,Fish Biryani Family Pack,580.0,686,16,30,13,25.0,Expensive_Nutritious
Biryani,Paneer 65,260.0,597,29,47,16,51.4,Expensive_Nutritious
Biryani,Mushroom Biryani Family Pack,425.0,689,28,66,24,45.2,Expensive_Nutritious
Biryani,Andhra Chicken,330.0,455,25,49,15,44.8,Expensive_Nutritious
Biryani,Crystal Special Mutton + Special Mutton Biryani,650.0,395,15,38,14,23.6,Expensive_Nutritious
Biryani,Special Chicken Biryani + Chicken Drum Stick,600.0,664,23,39,18,35.8,Expensive_Nutritious
Biryani,Special Chicken Biryani + Chicken Majestic,600.0,431,28,52,21,45.4,Expensive_Nutritious
Biryani,Special Chicken biryani + Chicken Mongolia,600.0,514,20,62,10,42.4,Expensive_Nutritious
Biryani,Special Chicken Biryani + Hongkong Chicken,600.0,670,20,68,19,34.6,Expensive_Nutritious
Biryani,Tomato Soup,115.0,517,16,30,17,21.0,Affordable_Nutritious
Biryani,Veg Hot & Sour Soup,105.0,516,16,65,14,31.0,Affordable_Nutritious
Biryani,VEG Corn Soup,105.0,432,25,47,10,49.4,Affordable_Nutritious
Biryani,Veg Clear Soup,105.0,635,22,36,14,37.2,Affordable_Nutritious
Biryani,Veg Noodle Soup,105.0,630,29,64,20,50.8,Affordable_Nutritious
Biryani,Chicken Cantonese Soup,125.0,471,26,30,19,39.0,Affordable_Nutritious
Biryani,Chicken Hot & Sour Soup,125.0,433,21,48,23,28.6,Affordable_Nutritious
Biryani,Chicken Noodle Soup,125.0,396,18,64,23,25.8,Affordable_Nutritious
Biryani,Chicken Corn Soup,125.0,507,16,56,22,21.200000000000003,Affordable_Nutritious
Biryani,Paneer 65,260.0,355,17,64,11,35.8,Expensive_Nutritious
Biryani,Paneer Majestic,270.0,421,23,32,10,42.4,Expensive_Nutritious
Biryani,Mushroom Manchurian,240.0,658,29,37,22,43.4,Expensive_Nutritious
Biryani,Veg Manchurian,230.0,507,17,59,13,32.8,Expensive_Nutritious
Biryani,Vegetable Bullet,230.0,470,20,68,10,43.6,Expensive_Nutritious
Biryani,Vegetable Crisp,230.0,650,28,57,16,51.4,Expensive_Nutritious
Biryani,Alu 65,230.0,522,27,43,20,42.6,Expensive_Nutritious
Biryani,Gobi 65,230.0,534,25,57,15,46.4,Expensive_Nutritious
Biryani,Gobi Manchuraian,230.0,361,25,43,18,40.6,Expensive_Nutritious
Biryani,Egg Fooyong,175.0,562,19,69,17,34.8,Expensive_Nutritious
Biryani,Egg Bhurgi,175.0,497,18,39,17,26.8,Expensive_Nutritious
Biryani,Crystal Special Chicken,280.0,517,20,51,21,29.200000000000003,Expensive_Nutritious
Biryani,Chicken Mongolia,310.0,550,25,37,18,39.4,Expensive_Nutritious
Biryani,Hongkong Chicken,310.0,471,23,60,23,35.0,Expensive_Nutritious
Biryani,Chicken Drum Stick,310.0,580,20,39,11,36.8,Expensive_Nutritious
Biryani,Murgh Majestic,310.0,676,15,51,15,25.200000000000003,Expensive_Nutritious
Biryani,Pepper Chicken,220.0,431,25,47,19,40.4,Expensive_Nutritious
Biryani,Chicken Manchurian,305.0,441,20,36,22,25.2,Expensive_Nutritious
Biryani,Andhra Chicken,305.0,387,20,36,18,29.2,Expensive_Nutritious
Biryani,Chicken 65,305.0,368,23,53,12,44.6,Expensive_Nutritious
Biryani,Chicken Natuvepudu,400.0,411,21,69,14,41.8,Expensive_Nutritious
Biryani,Crystal Special Mutton,350.0,599,16,52,18,24.4,Expensive_Nutritious
Biryani,Mutton Chilli,350.0,614,20,61,10,42.2,Expensive_Nutritious
Biryani,Pepper Mutton,350.0,623,16,68,15,30.6,Expensive_Nutritious
Biryani,Mutton Chops,350.0,600,17,31,15,25.2,Expensive_Nutritious
Biryani,Mutton 65,350.0,501,24,65,16,45.0,Expensive_Nutritious
Biryani,Mutton Munchurian,350.0,421,18,46,15,30.200000000000003,Expensive_Nutritious
Biryani,Finger Fish,350.0,619,26,35,10,49.0,Expensive_Nutritious
Biryani,Apollo Fish,350.0,453,24,36,24,31.2,Expensive_Nutritious
Biryani,Fried Fish,350.0,652,23,42,15,39.4,Expensive_Nutritious
Biryani,Chilly Fish,350.0,486,29,56,22,47.2,Expensive_Nutritious
Biryani,Ginger Fish,350.0,655,25,69,17,46.8,Expensive_Nutritious
Biryani,Fish Manchurian,350.0,677,26,54,10,52.8,Expensive_Nutritious
Biryani,Fish Natuvepudu,425.0,366,25,60,12,50.0,Expensive_Nutritious
Biryani,Ginger Prawns,350.0,577,18,67,11,38.4,Expensive_Nutritious
Biryani,Chilly Prawns,350.0,464,17,66,11,36.2,Expensive_Nutritious
Biryani,Prawns Manchurian,350.0,661,25,42,21,37.4,Expensive_Nutritious
Biryani,Loose Prawns,350.0,462,27,46,24,39.2,Expensive_Nutritious
Biryani,Fried Prawns,350.0,353,16,63,21,23.6,Expensive_Nutritious
Biryani,Prawns Pakoda,350.0,649,22,69,24,33.8,Expensive_Nutritious
Biryani,Prawns Natuvepudu,425.0,583,19,50,18,30.0,Expensive_Nutritious
Biryani,Veg Spring Roll,245.0,654,16,37,12,27.4,Expensive_Nutritious
Biryani,Mix Spring Roll,265.0,627,20,60,12,40.0,Expensive_Nutritious
Biryani,Chicken Spring roll,265.0,536,18,47,18,27.4,Expensive_Nutritious
Biryani,Mutton Spring Roll,275.0,444,22,64,10,46.8,Expensive_Nutritious
Biryani,Egg Spring Roll,265.0,353,29,44,15,51.8,Expensive_Nutritious
Biryani,Veg Shanghai Roll,255.0,528,17,45,17,26.0,Expensive_Nutritious
Biryani,Palak Kashmiri Kofta,250.0,530,16,63,24,20.6,Expensive_Nutritious
Biryani,Kadai Panner,250.0,427,28,54,18,48.8,Expensive_Nutritious
Biryani,Mutter Panner,250.0,527,22,59,13,42.8,Expensive_Nutritious
Biryani,Palak Panner,240.0,422,17,32,21,19.4,Low_Nutrition
Biryani,Paneer Butter Masala,240.0,694,25,62,15,47.4,Expensive_Nutritious
Biryani,Navratan Curry,250.0,534,16,61,19,25.200000000000003,Expensive_Nutritious
Biryani,Veg Shahi Kurma,240.0,698,25,62,20,42.4,Expensive_Nutritious
Biryani,Veg Malai Kofta,240.0,648,22,33,11,39.6,Expensive_Nutritious
Biryani,Veg Do Pyaaza,240.0,552,17,30,20,20.0,Low_Nutrition
Biryani,Veg Chat Pat,240.0,482,18,46,19,26.200000000000003,Expensive_Nutritious
Biryani,Methi Chaman,240.0,668,26,50,11,51.0,Expensive_Nutritious
Biryani,Egg Curry,250.0,682,21,55,19,34.0,Expensive_Nutritious
Biryani,Egg Masala,250.0,396,18,57,22,25.4,Expensive_Nutritious
Biryani,Dhamka Chicken,340.0,666,21,40,16,34.0,Expensive_Nutritious
Biryani,Crystal Special Chicken,330.0,464,27,60,14,52.0,Expensive_Nutritious
Biryani,Chicken Tikka Masala,340.0,644,18,58,11,36.6,Expensive_Nutritious
Biryani,Butter Chicken,330.0,605,19,67,20,31.4,Expensive_Nutritious
Biryani,Chicken Methi,330.0,471,26,48,17,44.6,Expensive_Nutritious
Biryani,Chicken Mughalai,330.0,514,26,65,16,49.0,Expensive_Nutritious
Biryani,Chicken Afghani,340.0,356,20,38,15,32.6,Expensive_Nutritious
Biryani,Punjabi Chicken,330.0,563,26,44,18,42.8,Expensive_Nutritious
Biryani,Chicken Khandari,330.0,492,16,59,10,33.8,Expensive_Nutritious
Biryani,Chicken Chatpat,330.0,390,29,45,19,48.0,Expensive_Nutritious
Biryani,Chicken Kalimirchi,330.0,520,15,52,24,16.4,Low_Nutrition
Biryani,Andhra Chicken,330.0,377,27,57,13,52.4,Expensive_Nutritious
Biryani,Chicken Shai Kurma,330.0,533,18,66,10,39.2,Expensive_Nutritious
Biryani,Chicken Masala,320.0,552,19,38,10,35.6,Expensive_Nutritious
Biryani,Chicken Curry,320.0,475,25,60,23,39.0,Expensive_Nutritious
Biryani,Dum Ka Chicken,340.0,435,15,56,19,22.200000000000003,Expensive_Nutritious
Biryani,Special Mutton,350.0,420,24,59,23,36.8,Expensive_Nutritious
Biryani,Dhamka Mutton,350.0,498,27,47,22,41.4,Expensive_Nutritious
Biryani,Mutton Shahi Kurma,340.0,459,15,32,12,24.4,Expensive_Nutritious
Biryani,Mutton Moghalai,340.0,512,29,51,23,45.2,Expensive_Nutritious
Biryani,Mutton Chilly,340.0,445,25,41,19,39.2,Expensive_Nutritious
